signature_id,pattern_name,description,severity,detection_rule,false_positive_rate,created_date,last_triggered,trigger_count_30d,embedding_text
SIG-0001,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.101,2025-10-09,2026-02-17 09:42:00,225,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in P2P payments fraud.
SIG-0002,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.017,2025-05-18,2026-02-21 06:42:00,168,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in P2P payments fraud.
SIG-0003,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.038,2025-07-24,2026-02-06 07:42:00,238,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in wire transfers fraud.
SIG-0004,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.107,2025-10-11,2026-03-03 01:42:00,21,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in mobile banking fraud.
SIG-0005,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.145,2025-09-21,2026-03-03 03:42:00,394,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in mobile banking fraud.
SIG-0006,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.024,2025-03-06,2026-02-15 02:42:00,368,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in P2P payments fraud.
SIG-0007,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.055,2025-11-09,2026-03-03 20:42:00,358,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in P2P payments fraud.
SIG-0008,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.025,2026-02-24,2026-02-15 21:42:00,258,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in mobile banking fraud.
SIG-0009,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.021,2025-09-17,2026-02-05 18:42:00,132,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in wire transfers fraud.
SIG-0010,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.118,2025-11-25,2026-02-12 09:42:00,72,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in mobile banking fraud.
SIG-0011,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.065,2025-06-16,2026-02-15 03:42:00,102,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in P2P payments fraud.
SIG-0012,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.063,2026-01-12,2026-03-03 18:42:00,210,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in P2P payments fraud.
SIG-0013,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.045,2025-05-25,2026-02-28 02:42:00,294,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in wire transfers fraud.
SIG-0014,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.015,2025-07-24,2026-02-06 21:42:00,23,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in P2P payments fraud.
SIG-0015,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.099,2025-04-10,2026-02-10 10:42:00,356,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in online banking fraud.
SIG-0016,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.096,2025-11-10,2026-02-05 23:42:00,500,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in P2P payments fraud.
SIG-0017,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.025,2025-07-13,2026-02-17 03:42:00,430,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in wire transfers fraud.
SIG-0018,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.104,2025-11-06,2026-03-01 00:42:00,362,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in P2P payments fraud.
SIG-0019,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.13,2025-06-20,2026-02-25 23:42:00,441,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in mobile banking fraud.
SIG-0020,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.018,2025-07-10,2026-03-05 10:42:00,496,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in wire transfers fraud.
SIG-0021,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.095,2025-07-02,2026-02-14 15:42:00,123,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in mobile banking fraud.
SIG-0022,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.015,2025-10-12,2026-02-09 17:42:00,334,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in mobile banking fraud.
SIG-0023,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.011,2025-09-11,2026-02-22 11:42:00,483,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in P2P payments fraud.
SIG-0024,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.041,2025-09-16,2026-02-21 10:42:00,254,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in online banking fraud.
SIG-0025,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.079,2025-09-22,2026-02-25 07:42:00,102,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in wire transfers fraud.
SIG-0026,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.074,2025-11-14,2026-03-03 02:42:00,202,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in mobile banking fraud.
SIG-0027,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.033,2025-11-25,2026-02-16 05:42:00,42,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in online banking fraud.
SIG-0028,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.106,2025-03-10,2026-02-05 21:42:00,343,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in P2P payments fraud.
SIG-0029,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.045,2025-09-03,2026-02-09 12:42:00,261,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in wire transfers fraud.
SIG-0030,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.144,2025-04-12,2026-02-22 20:42:00,385,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in mobile banking fraud.
SIG-0031,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.016,2025-10-01,2026-02-08 19:42:00,263,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in online banking fraud.
SIG-0032,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.041,2025-09-25,2026-02-16 05:42:00,296,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in online banking fraud.
SIG-0033,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.065,2025-05-05,2026-02-15 16:42:00,37,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in wire transfers fraud.
SIG-0034,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.107,2025-04-30,2026-02-13 19:42:00,465,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in online banking fraud.
SIG-0035,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.054,2025-10-25,2026-03-03 12:42:00,19,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in wire transfers fraud.
SIG-0036,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.135,2025-03-18,2026-02-26 01:42:00,105,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in online banking fraud.
SIG-0037,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.032,2025-04-10,2026-02-07 07:42:00,428,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in mobile banking fraud.
SIG-0038,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.109,2025-06-09,2026-02-06 16:42:00,36,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in wire transfers fraud.
SIG-0039,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.123,2025-04-27,2026-02-16 04:42:00,93,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in mobile banking fraud.
SIG-0040,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.027,2025-11-16,2026-02-06 17:42:00,315,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in mobile banking fraud.
SIG-0041,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.102,2025-08-27,2026-02-18 22:42:00,422,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in mobile banking fraud.
SIG-0042,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.024,2025-06-06,2026-02-06 05:42:00,204,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in P2P payments fraud.
SIG-0043,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.031,2025-08-19,2026-02-11 22:42:00,67,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in P2P payments fraud.
SIG-0044,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.082,2025-04-10,2026-02-09 12:42:00,364,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in P2P payments fraud.
SIG-0045,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.114,2026-02-08,2026-02-15 07:42:00,210,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in wire transfers fraud.
SIG-0046,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.021,2026-01-09,2026-02-07 06:42:00,418,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in mobile banking fraud.
SIG-0047,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.071,2025-11-22,2026-02-11 17:42:00,344,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in mobile banking fraud.
SIG-0048,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.101,2025-08-04,2026-03-05 00:42:00,437,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in P2P payments fraud.
SIG-0049,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.145,2025-11-17,2026-02-18 15:42:00,114,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in mobile banking fraud.
SIG-0050,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.049,2025-09-16,2026-02-09 05:42:00,42,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in online banking fraud.
SIG-0051,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.108,2025-06-02,2026-02-14 09:42:00,153,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in P2P payments fraud.
SIG-0052,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.1,2026-01-17,2026-02-10 07:42:00,158,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in mobile banking fraud.
SIG-0053,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.136,2026-01-15,2026-02-20 02:42:00,280,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in P2P payments fraud.
SIG-0054,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.013,2025-07-27,2026-02-25 13:42:00,224,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in mobile banking fraud.
SIG-0055,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.038,2026-01-10,2026-02-18 16:42:00,281,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in P2P payments fraud.
SIG-0056,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.126,2025-09-30,2026-03-02 22:42:00,136,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in wire transfers fraud.
SIG-0057,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.033,2025-12-27,2026-03-02 14:42:00,261,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in online banking fraud.
SIG-0058,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.13,2025-06-06,2026-02-06 05:42:00,67,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in online banking fraud.
SIG-0059,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.09,2025-12-05,2026-03-01 19:42:00,309,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in online banking fraud.
SIG-0060,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.067,2025-05-11,2026-02-19 22:42:00,465,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in wire transfers fraud.
SIG-0061,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.072,2025-10-19,2026-02-05 16:42:00,157,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in P2P payments fraud.
SIG-0062,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.149,2025-10-08,2026-02-22 12:42:00,27,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in P2P payments fraud.
SIG-0063,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.091,2026-02-05,2026-02-22 03:42:00,276,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in wire transfers fraud.
SIG-0064,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.113,2025-10-12,2026-02-19 08:42:00,281,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in wire transfers fraud.
SIG-0065,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.109,2025-04-21,2026-02-14 02:42:00,286,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in wire transfers fraud.
SIG-0066,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.076,2025-07-23,2026-02-12 08:42:00,150,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in mobile banking fraud.
