signature_id,pattern_name,description,severity,detection_rule,false_positive_rate,created_date,last_triggered,trigger_count_30d,embedding_text
SIG-0067,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.062,2025-12-21,2026-02-05 18:42:00,360,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in wire transfers fraud.
SIG-0068,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.093,2025-10-15,2026-02-27 23:42:00,220,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in mobile banking fraud.
SIG-0069,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.037,2025-05-01,2026-02-06 18:42:00,125,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in mobile banking fraud.
SIG-0070,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.079,2025-09-22,2026-02-20 04:42:00,472,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in mobile banking fraud.
SIG-0071,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.02,2026-02-14,2026-02-06 14:42:00,26,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in wire transfers fraud.
SIG-0072,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.038,2025-06-22,2026-02-18 18:42:00,400,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in mobile banking fraud.
SIG-0073,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.054,2025-11-30,2026-02-13 06:42:00,306,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in online banking fraud.
SIG-0074,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.046,2025-10-03,2026-02-17 23:42:00,222,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in wire transfers fraud.
SIG-0075,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.042,2025-09-01,2026-02-07 05:42:00,308,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in online banking fraud.
SIG-0076,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.011,2025-10-29,2026-02-23 14:42:00,464,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in mobile banking fraud.
SIG-0077,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.074,2025-11-10,2026-02-19 02:42:00,312,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in P2P payments fraud.
SIG-0078,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.073,2026-01-28,2026-02-21 09:42:00,374,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in online banking fraud.
SIG-0079,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.065,2025-09-25,2026-02-11 20:42:00,291,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in mobile banking fraud.
SIG-0080,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.011,2025-11-03,2026-02-21 18:42:00,420,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in online banking fraud.
SIG-0081,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.14,2025-03-05,2026-02-05 14:42:00,142,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in mobile banking fraud.
SIG-0082,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.075,2025-07-18,2026-02-16 19:42:00,160,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in P2P payments fraud.
SIG-0083,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.121,2025-03-11,2026-03-01 22:42:00,104,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in wire transfers fraud.
SIG-0084,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.134,2026-01-24,2026-02-04 20:42:00,279,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in P2P payments fraud.
SIG-0085,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.138,2025-10-02,2026-02-15 23:42:00,60,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in P2P payments fraud.
SIG-0086,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.12,2025-11-28,2026-02-28 02:42:00,120,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in wire transfers fraud.
SIG-0087,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.044,2025-05-27,2026-02-14 00:42:00,446,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in online banking fraud.
SIG-0088,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.027,2025-09-21,2026-02-16 20:42:00,478,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in P2P payments fraud.
SIG-0089,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.125,2025-05-02,2026-02-16 16:42:00,354,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in wire transfers fraud.
SIG-0090,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.142,2025-10-15,2026-02-12 14:42:00,236,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in wire transfers fraud.
SIG-0091,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.068,2025-09-20,2026-02-03 18:42:00,346,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in P2P payments fraud.
SIG-0092,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.129,2025-08-02,2026-02-04 21:42:00,444,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in P2P payments fraud.
SIG-0093,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.043,2025-06-10,2026-02-08 08:42:00,459,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in P2P payments fraud.
SIG-0094,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.044,2026-01-24,2026-02-19 23:42:00,379,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in mobile banking fraud.
SIG-0095,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.031,2025-10-17,2026-03-03 21:42:00,457,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in mobile banking fraud.
SIG-0096,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.147,2025-10-31,2026-02-17 07:42:00,98,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in mobile banking fraud.
SIG-0097,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.069,2025-07-26,2026-02-27 12:42:00,102,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in P2P payments fraud.
SIG-0098,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.112,2025-10-24,2026-02-06 00:42:00,404,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in P2P payments fraud.
SIG-0099,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.087,2025-06-10,2026-03-02 08:42:00,63,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in online banking fraud.
SIG-0100,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.125,2025-11-14,2026-02-23 22:42:00,231,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in mobile banking fraud.
SIG-0101,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.138,2025-05-22,2026-02-21 02:42:00,334,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in P2P payments fraud.
SIG-0102,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.121,2026-01-30,2026-02-25 06:42:00,214,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in online banking fraud.
SIG-0103,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.084,2025-09-27,2026-02-21 10:42:00,61,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in online banking fraud.
SIG-0104,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.149,2025-04-11,2026-02-15 04:42:00,171,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in online banking fraud.
SIG-0105,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.021,2026-01-24,2026-02-22 22:42:00,37,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in wire transfers fraud.
SIG-0106,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.129,2025-06-21,2026-02-18 14:42:00,383,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in P2P payments fraud.
SIG-0107,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.15,2025-05-29,2026-02-26 16:42:00,472,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in wire transfers fraud.
SIG-0108,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.146,2025-12-20,2026-03-01 19:42:00,182,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in P2P payments fraud.
SIG-0109,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.103,2025-10-17,2026-02-23 00:42:00,270,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in P2P payments fraud.
SIG-0110,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.102,2025-08-15,2026-03-02 05:42:00,158,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in P2P payments fraud.
SIG-0111,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.046,2025-07-02,2026-02-05 05:42:00,12,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in online banking fraud.
SIG-0112,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.068,2025-12-18,2026-02-19 07:42:00,418,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in online banking fraud.
SIG-0113,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.024,2025-09-11,2026-02-24 04:42:00,463,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in online banking fraud.
SIG-0114,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.148,2025-05-05,2026-02-04 04:42:00,500,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in wire transfers fraud.
SIG-0115,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.103,2025-06-13,2026-02-22 15:42:00,157,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in online banking fraud.
SIG-0116,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.144,2026-02-05,2026-02-21 19:42:00,5,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in wire transfers fraud.
SIG-0117,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.073,2025-12-23,2026-03-02 05:42:00,221,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in mobile banking fraud.
SIG-0118,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.12,2025-09-13,2026-03-04 18:42:00,274,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in online banking fraud.
SIG-0119,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.141,2026-02-07,2026-02-12 11:42:00,200,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in mobile banking fraud.
SIG-0120,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.135,2025-07-11,2026-02-17 17:42:00,149,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in wire transfers fraud.
SIG-0121,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.051,2025-05-23,2026-02-15 01:42:00,348,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in online banking fraud.
SIG-0122,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.012,2025-06-18,2026-03-05 05:42:00,394,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in P2P payments fraud.
SIG-0123,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.059,2025-07-14,2026-02-12 05:42:00,311,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in P2P payments fraud.
SIG-0124,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.11,2025-07-07,2026-02-10 09:42:00,103,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in wire transfers fraud.
SIG-0125,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.017,2025-03-10,2026-02-09 08:42:00,273,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in P2P payments fraud.
SIG-0126,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.044,2026-02-22,2026-02-17 07:42:00,383,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in P2P payments fraud.
SIG-0127,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.084,2025-04-22,2026-02-10 01:42:00,269,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in P2P payments fraud.
SIG-0128,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.016,2025-11-17,2026-02-03 18:42:00,357,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in online banking fraud.
SIG-0129,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.099,2026-02-04,2026-02-22 10:42:00,142,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in P2P payments fraud.
SIG-0130,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.075,2025-09-14,2026-02-22 23:42:00,221,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in P2P payments fraud.
SIG-0131,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.019,2025-09-30,2026-02-10 04:42:00,59,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in P2P payments fraud.
SIG-0132,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.016,2025-06-02,2026-02-09 19:42:00,423,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in online banking fraud.
